message,label
What's your favorite movie,ham
WINNER! You've won a personal trainer package,spam
I'll start the coffee,ham
FREE credit card debt elimination! Call experts,spam
Can you get the newspaper,ham
You qualify for free oxygen therapy! Health boost,spam
Thanks for your time today,ham
Your Disney Plus ending! Keep your subscription,spam
What are you afraid of,ham
EXCLUSIVE fine art auction! Museum quality pieces,spam
I'll wipe the counters,ham
URGENT: Your LLC registration is incomplete,spam
Can you untangle this,ham
You've won a year of free car washes,spam
Hope you're feeling peaceful,ham
Your McAfee subscription expired! Install updates,spam
What's your favorite song,ham
FREE injury compensation! No win no fee,spam
I'll change the sheets,ham
You have unclaimed pension benefits! Collect now,spam
Can you find my glasses,ham
SHOCKING: This tea melts pounds overnight,spam
Thanks for the beautiful day,ham
Your HBO Max is ending! Continue watching shows,spam
What makes you smile,ham
WINNER! You've won a diamond bracelet,spam
I'll sweep the porch,ham
EXCLUSIVE rare stamps collection! Investment grade,spam
Can you stir the pot,ham
You qualify for free dental implants! Call now,spam
Hope you feel special today,ham
Your Google Drive storage full! Upgrade space,spam
What's your favorite book,ham
FREE bankruptcy consultation! Fresh start waiting,spam
I'll dust the shelves,ham
URGENT: Your trademark is being infringed,spam
Can you preheat the oven,ham
You've won a shopping spree at Nordstrom,spam
Thanks for everything today,ham
Your Amazon Prime Video ending! Renew membership,spam
What are you reading,ham
EXCLUSIVE fine jewelry sale! Liquidation prices,spam
I'll empty the trash,ham
You have unclaimed class action money,spam
Can you unplug that,ham
SHOCKING: This patch stops smoking instantly,spam
Hope you're feeling grateful,ham
Your Apple TV Plus trial ending! Keep access,spam
What's your favorite hobby,ham
WINNER! You've won a year of free flowers,spam
I'll mop the floor,ham
FREE foreclosure prevention! Save your home,spam
Can you restart the router,ham
You qualify for free stem cell therapy,spam
Thanks for your presence,ham
Your Hulu subscription ending! Continue streaming,spam
What makes you feel alive,ham
EXCLUSIVE antique furniture! Rare collection sale,spam
I'll clean the bathroom,ham
URGENT: Your non-profit status is expiring,spam
Can you season this,ham
You've won a complete wardrobe makeover,spam
Hope you're feeling motivated,ham
Your Dropbox storage full! Buy more space,spam
What's your favorite place,ham
FREE loan modification! Lower your payment,spam
I'll take out the recycling,ham
You have won lottery jackpot! Claim millions,spam
Can you help me reach that,ham
SHOCKING: This supplement prevents all cancers,spam
Thanks for the wonderful day together,ham
Your Paramount Plus ending! Keep your shows,spam
What are you interested in,ham
WINNER! You've won a year of free meals,spam
I'll organize the garage,ham
EXCLUSIVE silver bullion! Invest before shortage,spam
Can you boil some water,ham
You qualify for free hearing test! Book today,spam
Hope you know you matter,ham
Your OneDrive storage full! Upgrade your plan,spam
What's your favorite memory,ham
FREE reverse mortgage consultation! Unlock equity,spam
I'll wash the car,ham
URGENT: Your patent application is incomplete,spam
Can you drain the sink,ham
You've won a luxury handbag and shoes set,spam
Thanks for being amazing,ham
Your Peacock subscription ending! Renew access,spam
What scares you the most,ham
EXCLUSIVE rare coin auction! Numismatic treasures,spam
I'll check the batteries,ham
You have unclaimed workers compensation,spam
Can you slice this,ham
SHOCKING: This cream eliminates scars instantly,spam
Hope you're feeling content,ham
Your Adobe Creative Cloud ending! Keep designing,spam
What's your passion,ham
WINNER! You've won concert tickets for life,spam
I'll arrange the flowers,ham
FREE debt settlement! Reduce what you owe,spam
Can you grease the pan,ham
You qualify for free vision correction surgery,spam
Thanks for making today special,ham
Your ESPN Plus ending! Keep watching sports,spam
What makes you happy inside,ham
EXCLUSIVE masterpiece paintings! Art investment,spam
I'll clear the table,ham
URGENT: Your business insurance is cancelled,spam
Can you taste this,ham
You've won a year of free salon services,spam
Hope you feel appreciated always,ham
Your iCloud backup failed! Fix storage now,spam
What's your biggest dream,ham
FREE payday loan! Instant approval no credit,spam
I'll sort the mail,ham
You have unclaimed insurance settlement,spam
Can you dice this,ham
SHOCKING: This mineral cures all pain,spam
Thanks for being in my life,ham
Your Showtime subscription ending! Continue shows,spam
What do you love most,ham
WINNER! You've won a smart home package,spam
I'll refill the soap,ham
EXCLUSIVE vintage car collection! Classic investment,spam
Can you chop this,ham
You qualify for free plastic surgery consultation,spam
Hope you're having fun,ham
Your Microsoft OneDrive full! Upgrade storage,spam
What's your happy place,ham
FREE credit repair guaranteed! Fix score fast,spam
I'll change the filter,ham
URGENT: Your insurance claim is being denied,spam
Can you blend this,ham
You've won a year of free house cleaning,spam
Thanks for the amazing memories,ham
Your Apple iCloud Photos full! Buy storage,spam
What motivates you daily,ham
EXCLUSIVE rare whiskey collection! Investment bottle,spam
I'll check the windows,ham
You have unclaimed benefits waiting! Apply now,spam
Can you grate this,ham
SHOCKING: This oil regrows hair overnight,spam
Hope you're feeling joyful,ham
Your Nintendo Switch Online ending! Renew today,spam
What's your life goal,ham
WINNER! You've won free gasoline for life,spam
I'll clean the gutters,ham
FREE bankruptcy filing! Eliminate all debt,spam
Can you whisk this,ham
You qualify for free addiction treatment center,spam
Thanks for your kindness today,ham
Your Google Photos storage full! Upgrade plan,spam
What brings you peace,ham
EXCLUSIVE collectible toys! Mint condition rare,spam
I'll turn on the heat,ham
URGENT: Your malpractice insurance is expiring,spam
Can you marinate this,ham
You've won a year of free therapy sessions,spam
Hope you're feeling inspired,ham
Your PS Plus subscription ending! Renew benefits,spam
What's your dream vacation,ham
FREE mortgage refinance! Lowest rates ever seen,spam
I'll replace the towels,ham
You have unclaimed veteran benefits available,spam
Can you simmer this,ham
SHOCKING: This berry burns fat instantly,spam
Thanks for being wonderful,ham
Your Zoom Pro expiring! Upgrade your account,spam
What makes life worth living,ham
WINNER! You've won a year of free childcare,spam
I'll check the fridge,ham
EXCLUSIVE baseball card collection! Rare vintage,spam
Can you sauté this,ham
You qualify for free cosmetic dental work,spam
Hope you feel worthy,ham
Your Box storage full! Purchase more space,spam
What's your favorite animal,ham
FREE payday advance! No credit check needed,spam
I'll trim the hedges,ham
URGENT: Your liquor license is being revoked,spam
Can you blanch this,ham
You've won a personal shopper for a year,spam
Thanks for the good vibes,ham
Your Crunchyroll subscription ending! Keep anime,spam
What do you value most,ham
EXCLUSIVE vintage comic books! Collector items,spam
I'll turn off the lights,ham
You have unclaimed retirement account money,spam
Can you poach this,ham
SHOCKING: This spice reverses diabetes,spam
Hope you're feeling complete,ham
Your Slack workspace ending! Renew your team,spam
What are you thankful for today,ham
WINNER! You've won free electricity for life,spam
I'll prep the vegetables,ham
FREE loan consolidation! One low payment,spam
Can you julienne this,ham
You qualify for free bariatric surgery coverage,spam
Thanks for being real,ham
Your Dashlane Premium ending! Secure passwords,spam
What makes you feel good,ham
EXCLUSIVE rare gemstones! Investment opportunity,spam
I'll set the table,ham
